ID,RA,Dec,mu_eff,mu_std_eff,alpha,alpha_std,gamma,gamma_std,mu_king,mu_std_king,rc,rc_std,rt,rt_std,rfit,Tile
HW78,20.336,-73.0942,19.4893,0.241,4.7282,1.3532,4.8156,1.1621,19.4086,0.3446,2.5601,0.705,20.2296,3.1528,16,3_7
HW8,8.4446,-73.6333,19.5142,0.2782,3.3994,1.1341,2.01,0.2742,19.6588,0.3101,4.5016,1.1884,100.8625,48.6147,50,3_3
HW82,21.1158,-73.1707,19.251,0.3027,1.8754,0.5862,2.01,0.2285,19.5641,0.2889,2.7014,0.6429,57.1162,26.4662,25,3_7
HW9,9.1051,-73.0011,22.0348,0.1492,4.0359,1.4287,2.01,0.5434,22.2223,0.1737,6.7685,2.4076,28.0555,13.3349,16,3_4
IC1611,14.9513,-72.334,18.726,0.0947,6.5037,0.9784,2.2594,0.198,18.7292,0.098,6.1773,0.649,184.5051,89.7578,50,4_6
IC1612,15.0079,-72.37,20.7379,0.1843,10.9782,6.6266,2.01,1.0375,21.0697,0.1352,27.9922,19.447,72.7215,61.0763,40,4_6
IC1624,16.338,-72.0434,19.2294,0.057,12.1327,1.4515,3.5176,0.3796,19.2103,0.0659,8.8859,0.7739,70.057,9.2141,40,4_6
IC1662,18.1363,-73.4569,20.8837,0.1504,11.8134,3.7789,3.362,0.9564,20.8738,0.1559,9.0216,1.9038,72.67,24.8504,40,3_6
K1,5.3578,-73.7486,22.6526,0.0781,38.3422,12.7213,3.7082,1.4277,22.6501,0.0798,29.8615,5.9544,160.6089,61.5305,80,3_3
K11,9.1131,-72.4786,22.059,0.1,18.5505,4.8862,5.0288,1.4924,22.034,0.1107,11.5101,1.9048,58.6161,9.7669,40,4_4
K13,8.9196,-73.5981,22.59800000000001,0.1691,19.8804,13.9937,2.01,1.3187,22.8418,0.0999,63.1139,49.962,89.9658,35.4882,64,3_4
K15,10.0556,-72.6988,20.1648,0.0512,6.3325,0.5707,2.2492,0.1291,20.1561,0.0536,5.8469,0.3711,223.5832,109.6429,40,4_4
K16,10.1389,-72.74,21.8052,0.074,12.4521,5.4155,5.2074,3.2197,21.8127,0.0757,9.4927,2.2719,26.8111,6.992000000000001,16,4_4
K17,10.2544,-72.5728,19.5393,0.0715,7.6838,0.7752,2.5609,0.1486,19.5,0.0815,6.1395,0.4767,169.3901,39.6639,64,4_4
K21,10.3532,-72.889,21.7712,0.0793,27.316,6.865,2.01,0.3996,21.8136,0.0883,35.4571,6.4759,292.0329,138.3638,127,4_4
K25,12.0063,-73.4861,20.202,0.2243,6.0095,2.9254,2.01,0.6752,20.3517,0.2453,9.0868,3.6197,59.3532,40.1517,32,3_4
K27,12.0579,-73.8614,21.1645,0.0819,12.0469,2.4865,2.01,0.2993,21.265,0.119,16.9964,3.5497,132.5259,59.0717,64,3_4
K28,12.9233,-71.9998,20.9722,0.0464,20.0902,2.4624,2.5949,0.2669,20.9619,0.0482,17.2228,1.399,272.5592,100.5551,80,4_5
K30,13.1499,-72.192,21.429,0.1405,21.9365,9.704,2.01,0.7067,21.5094,0.147,32.9167,10.6541,176.4891,92.7121,100,4_5
K31,13.2541,-72.8978,21.5589,0.092,43.6682,21.1412,2.01,0.9698,21.6115,0.0955,68.5118,26.7879,230.4859,130.3034,127,4_5
K34,13.8875,-72.833,19.3809,0.045,16.9138,2.4054,5.0662,0.8657,19.3605,0.0395,11.118,0.7605,47.4932,3.2845,32,4_5
