# %ECSV 0.9
# ---
# datatype:
# - {name: # _idx, datatype: int64}
# - {name: area_pc2, unit: pc2, datatype: float64, description: projected area of structure}
# - {name: rad_pc, unit: pc, datatype: float64, description: equivalent radius in pc}
# - {name: e_rad_pc, datatype: float64, description: frac error in radius}
# - {name: vrms_k, unit: km / s, datatype: float64, description: rms linewidth in km/s}
# - {name: e_vrms_k, datatype: float64, description: frac error in linewidth}
# - {name: axratio, unit: '', datatype: float64, description: minor to major axis ratio}
# - {name: e_axratio, datatype: float64, description: frac error in axis ratio}
# - {name: mlumco, unit: solMass, datatype: float64, description: CO-based mass with alphascale=2.4 from N59C_12CO_3p5as.pbcor.fits.gz}
# - {name: e_mlumco, datatype: float64, description: frac error in luminous mass}
# - {name: siglum, unit: solMass / pc2, datatype: float64, description: average surface density from mlumco}
# - {name: e_siglum, datatype: float64, description: same as e_mlumco}
# - {name: mvir, unit: solMass, datatype: float64, description: virial mass}
# - {name: e_mvir, datatype: float64, description: frac error in virial mass}
# - {name: sigvir, unit: solMass / pc2, datatype: float64, description: virial surface density}
# - {name: e_sigvir, datatype: float64, description: same as e_mvir}
# - {name: alpha, unit: '', datatype: float64, description: virial parameter}
# - {name: e_alpha, datatype: float64, description: frac error in virial parameter}
# - {name: 8um_avg, unit: MJy / sr, datatype: float64}
# - {name: e_8um_avg, datatype: float64}
# - {name: flux12, unit: Jy km / s, datatype: float64, description: 12CO flux within the structure}
# - {name: flux13, unit: Jy km / s, datatype: float64, description: 13CO flux within the structure}
# - {name: mlte, unit: solMass, datatype: float64, description: LTE mass using H2/13CO=3000000.0}
# - {name: e_mlte, unit: '', datatype: float64, description: fractional unc in mlte}
# - {name: siglte, unit: solMass / pc2, datatype: float64, description: LTE mass divided by area in pc2}
# - {name: e_siglte, unit: '', datatype: float64, description: 'fractional unc in siglte [same as e_lte]'}
# schema: astropy-2.0
# _idx area_pc2 rad_pc e_rad_pc vrms_k e_vrms_k axratio e_axratio mlumco e_mlumco siglum e_siglum mvir e_mvir sigvir e_sigvir alpha e_alpha 8um_avg e_8um_avg flux12 flux13 mlte e_mlte siglte e_siglte
10 5.141594180428485 0.9713384351867417 0.1296763303592609 0.38049258044999246 0.1871798533863674 0.5962885801158149 0.24630005546608438 251.82742347446185 0.05 48.97847139181943 0.05 163.4827273551853 0.3708832081501347 31.796116460821327 0.3708832081501347 0.649185561681944 0.42063804579501635 6.643297153200422 0.037052637155463884 3.98470958815737 0.49134747173804477 229.35137155018654 0.03778501858456031 44.60705444689007 0.03778501858456031
11 2.9674343555615823 0.8374985804151487 0.2396968513824026 0.2823506316668282 0.35018577743917134 0.682681176216953 0.41457095331447624 83.47674308054236 0.05 28.130948515875264 0.05 77.61944309517817 0.8092623472279675 26.15708851307978 0.8092623472279675 0.9298331514957071 0.8254129353856977 4.6298326478146095 0.01760998205867387 1.3208671325608958 0.13049097813012853 58.53012714040707 0.08985986591482154 19.724152290246817 0.08985986591482154
12 1.4543366396069144 0.5681775819145701 0.30225674225236887 0.2897697608336311 0.3178455555501264 0.47984256690018734 0.6768894251545525 46.2072617365558 0.05 31.77205364849017 0.05 55.46246074659456 0.7494475500493629 38.135916565772035 0.7494475500493629 1.2002975000510954 0.845101608396978 7.667555462230336 0.031521315314551095 0.7311455851590533 0.0699811969266205 30.6592506495134 0.12387100340039503 21.08126125310309 0.12387100340039503
13 8.388143648641899 1.5917771600629578 0.10825511054363261 0.5198492538049084 0.13743649265921087 0.26957505238403034 0.21396614164779829 355.69971676401997 0.05 42.40505786064004 0.05 500.0875403049831 0.33049425167979374 59.61838056814286 0.33049425167979374 1.4059261695638448 0.39699270642440665 7.171874976617442 0.056864430284539316 5.62829900099336 0.576771376409375 262.35505160807355 0.03827423305726925 31.27689064439791 0.03827423305726925
14 4.642125031472575 1.0699016515051798 0.19462585515379022 0.36286570825086123 0.2319866613234768 0.791615249553796 0.28050461496072804 179.32111237803383 0.05 38.62910006996292 0.05 163.77387687091408 0.4314434232185975 35.279936615356895 0.4314434232185975 0.9132994698675301 0.5014503433179168 9.318754937075362 0.06979258093900365 2.83742959010459 0.24784665004639275 116.99963659073745 0.057060549135449536 25.203896016911642 0.057060549135449536
15 5.097523373167669 1.0747568956936353 0.12831997276779716 0.3625278122046196 0.22732176232087484 0.5067963715003398 0.19510055280212535 227.8372730732779 0.05 44.69567992028584 0.05 164.2108375044903 0.47351535351398205 32.21384689844934 0.47351535351398205 0.7207373722897227 0.5396517696149441 7.937136323032874 0.04707832682580677 3.605109379646109 0.4001479173444014 184.3098152192266 0.04325064656675392 36.156737640360056 0.04325064656675392
16 1.087079912433451 0.5104621236683667 0.392268664583807 0.12112695216567754 0.5663579850785286 0.4817808444890067 0.8549155192626398 32.28829444863936 0.05 29.70185915436644 0.05 8.706708759125513 1.1560552942232731 8.009262851371584 1.1560552942232731 0.26965527005383266 1.256499715713042 10.206395819380477 0.0655338166992676 0.5109033364778489 0.05119685313918976 24.95555847842236 0.10861528347857483 22.95650779026799 0.10861528347857483
17 1.8362836358673158 0.7264520319710717 0.3624500045098269 0.0 nan 0.375576709012408 0.6698053048648631 22.08362428092204 0.05 12.026259914085372 0.05 0.0 nan 0.0 nan 0.0 nan 8.080951515197754 0.05823588899834461 0.3494330299242926 0.06152047708306893 29.002562846131717 0.09099123566665404 15.794162884010666 0.09099123566665404
18 3.0555759700832135 0.8948244232084046 0.22728516997328807 0.09796884581226159 0.12486049157741529 0.425220966370384 0.47070422319704663 73.23314941199114 0.05 23.967052408124793 0.05 9.984417386099956 0.2605328195308395 3.2676056769185964 0.2605328195308395 0.1363374027509066 0.3425438617650902 8.136488504134691 0.045022805898227054 1.1587808908157278 0.15591927150666435 73.20516322114653 0.05815645023248354 23.95789335231384 0.05815645023248354
19 2.012566864910579 0.7884938925475266 0.3605593044064757 0.0 nan 0.5710926192182775 0.656881029440041 36.776887519365786 0.05 18.27362268582308 0.05 0.0 nan 0.0 nan 0.0 nan 8.815781422775157 0.11532059743556636 0.5819271590038956 0.06644458098501309 32.10911390280643 0.0884217414391713 15.95430912762895 0.0884217414391713
