ID,rcore_eff,rcore_err_eff,L_eff,L_err_eff,rcore_king,rcore_err_king,c,c_err,rh_king,rh_err_king,L_king,L_err_king,logt,logt_inf,logt_sup,E(B-V),Z,Mass,Mass_sup,Mass_inf,log(M/L),log(t_rh)
B128,,,,,2.907622076617804,1.928568972683862,0.3267161422560663,0.4249175971639677,2.04890185109623,0.62244637331386,3.516618205898015,0.9832015738816784,8.02379,7.7294,8.17279,0.120798,0.004,2.706483080456722,0.33107315200801407,0.5160731520080141,-0.863589781666386,7.334386606565117
B137,0.8325315314255058,0.1749796650938033,,,1.15211327165488,0.3025816440412471,1.0089613712862542,0.2959718608302462,1.7549026209833094,0.3999145734272833,3.6460998059232654,0.2124518293556076,,,,,,,,,,9999.99
B165,1.096257812756629,0.272667709225644,3.0860877088319985,0.3207563493580875,1.5215217888318158,0.4561284801677771,0.5615503528097989,0.1510263532941061,1.515459949035673,0.3278421121311429,3.082621171633005,0.3190853518062226,,,,,,,,,,9999.99
B18,0.7054766255581689,0.15104960227056,3.2904032984760367,0.4347511662334525,0.8287141185306675,0.2281398629287509,0.6996366114997471,0.2502275635407537,0.8486575714599769,0.16766189795285,3.20045353603248,0.2269330192421138,9.7243,9.07728,9.99149,0.103558,0.002,2.9260212381112978,0.6735376620471567,0.8585376620471568,-0.3643820603647389,6.97416070864058
B21,0.7600580463200858,0.3669855394241917,3.386854616697486,2.3181110472542463,2.4940833657249493,1.2103500660856108,0.0206340278239262,0.2349329360661027,1.0517292046307571,0.2063027539082687,2.8497301984789893,6.506637173950157,9.48916,8.99883,9.59557,0.0484842,0.002,2.812401255494512,0.4489442191847938,0.6339442191847938,-0.5744533612029739,7.051157607270564
B22,0.1963184966548736,0.088548108256583,,,0.3293397561244325,0.1110951577740512,1.1665112414427825,0.3132743638739101,0.5910293801239125,0.1432005530930727,3.265871769488466,0.2051985226427214,9.96765,9.72713,10.0563,0.121496,0.002,3.423530939755065,0.5282149370470202,0.7132149370470202,-0.8873569872394556,6.947008206171415
B26,0.6164986898891935,0.2069536694571012,2.97730758678562,0.8737455692854271,1.4602365884928132,0.4639188030933328,0.2304298316974026,0.1645501670625958,0.8668430908484049,0.1629695853827106,2.673582515312548,1.0940723542768094,,,,,,,,,,9999.99
B34A,0.8199207592129897,0.2961625225581572,3.551341803815353,0.3014579803443845,1.6864341404858778,0.8715785669069328,0.2748834674256492,0.2638945237691885,1.1093166826941128,0.2780431528031778,3.548090678681964,1.2858719702176589,,,,,,,,,,9999.99
B39,1.5385658726463889,0.3068269134187434,,,2.1665924707383404,0.5540499148349812,0.8762871861637889,0.2549451702857868,2.897559422556207,0.6325590272909738,4.086921160718533,0.2172949107966247,8.6742,8.63782,8.87316,0.130961,0.004,3.391527885078478,0.26337509351020033,0.44837509351020033,-2.4327614346325435,7.851199160256708
B52,4.069748068524516,1.2602604969779576,,,10.610886852760013,8.055048667322687,0.2516805562308544,0.5529852729092988,6.2558186696192575,2.0645244397693663,4.402409813287636,1.1526364056713967,,,,,,,,,,9999.99
B65,1.2637614279642475,0.2251250988202694,4.492383271494456,0.257425579419442,1.3996181905313865,0.2817707278043395,0.6375471079547705,0.0766605106308954,1.5336454684241008,0.2801379536765556,4.475485371801778,0.2245903050987548,,,,,,,,,,9999.99
B70,0.4734498952579241,0.0888406283883377,3.741160212664491,1.0083609157647069,0.4582447793894068,0.0830724028524936,1.7457250618972235,0.1322604436825221,1.3942231531128193,0.2438526319717939,3.4494562597624125,0.1516115695450038,9.63811,9.44946,9.77316,0.0663645,0.002,2.9672202597829673,0.42356854620076495,0.608568546200765,-0.7739399528815238,7.30383216292585
B71,1.8026083990840045,0.3653421552770545,4.648567783840088,0.2425438476333398,2.8470036786563773,0.7301388022450505,0.3783157148350493,0.1125102434048275,2.191355086305584,0.4124281637006923,4.660543864419455,0.5108355327927936,7.52969,7.3543,7.81374,0.126531,0.004,3.0145037378727246,0.2530841809823094,0.4380841809823094,-1.6340640459673632,7.452419565114695
B79,1.2777559743910027,0.32198280125839,4.555886690209335,0.5994872452414325,1.2832611756444274,0.3569088014471034,1.134524023678381,0.3088341224943504,2.3156228021265086,0.5413107378777915,4.449255250668172,0.2169829262993978,7.6989,7.44927,8.02115,0.0549829,0.004,2.981588039312477,0.2465383586547482,0.4315383586547482,-1.574298650896858,7.48747283744768
B80,0.63393577555268,0.2636345768656758,,,0.9419492859226132,0.4189067697701721,0.9822686128432558,0.5620784321625025,1.3760376337243911,0.5210167130493859,3.5229938058244183,0.31647749642835,9.08012,8.90401,9.35062,0.135923,0.002,2.8435211734910895,0.43888885880427647,0.6238888588042765,-2.3633022735196394,7.20104587373238
B9,1.0225270355727136,0.4864563465471291,3.732353061868677,1.5611119055009917,2.66575466875171,1.1105193187452314,0.3066327336748053,0.2189642019421234,1.8397683781293075,0.3931836817101108,3.3602412918846007,0.9153568171946178,,,,,,,,,,9999.99
B96,2.6343581278448065,0.5063959810632307,4.2389571964785,0.2805034916704188,4.153572628316973,1.0278591678871734,0.3638212826059982,0.1227535510498494,3.1006310557269874,0.5844990437804972,4.21118801038134,0.508339367954132,8.26913,8.11029,8.27405,0.180326,0.004,3.2598255363686524,0.2570995467557852,0.4420995467557852,-0.979131660109848,7.816140655527335
B97,1.3505719586460134,0.5355032485655099,,,3.0531365409242093,2.110335493007542,0.2738365813003934,0.4873083379364878,1.8640157373138784,0.5826076480191679,3.1397027997363463,1.0481476358260933,,,,,,,,,,9999.99
B99,1.4082216768474418,0.3981198119700457,4.434626582095314,0.9861901252758348,1.8259776925930824,0.6008453989403372,0.8201497078672855,0.3345818884615749,2.321684641922652,0.5767292379741938,4.110390723375722,0.2612544965706422,8.24876,7.92907,8.48609,0.187614,0.004,3.230206159566267,0.3204221995590832,0.5054221995590832,-1.204420422529047,7.615392679630064
BS102,1.1698011460292723,0.3709328215747453,3.734976594094358,2.067108578306097,1.65933771659712,0.708591309836576,0.6833784745205624,0.4808791921762287,1.68822238322574,0.4472749602859495,3.165217150670392,0.2925771832495443,8.37481,8.05367,8.65616,0.0556102,0.004,2.560242684372662,0.3482868689079108,0.5332868689079108,-1.174733909721696,7.183657620089326
BS128,,,,,1.0569726960544206,0.6905449069925141,0.8243910501280128,1.2931310126552529,0.9850489668731875,0.2329188417109861,3.1147474133317776,0.3683859013547453,8.35194,7.9965,8.67614,0.0999096,0.004,2.229046699073886,0.43629949378873517,0.6212994937887352,-0.7693866191007968,6.7261932219666
BS131,1.2743008220237615,0.3128579169323353,4.044140299922158,0.6185404718114141,2.339718615316176,1.0978096475734198,0.2843770283640707,0.3150270988312792,1.4851507500549597,0.3398369955306618,3.8272310020341886,0.8446796948018616,,,,,,,,,,9999.99
BS138,3.5275438991445776,0.9384118191443356,,,6.014648373329723,4.8068793898665545,0.3899975024282799,0.7627801328401105,4.070525423109818,1.1774078378731605,3.852864833558245,0.5525927280581513,9.53096,9.4922,9.56411,0.124088,0.002,3.68120323494579,0.22291997182589535,0.40791997182589534,-2.131118141388437,8.257435263402359
BS2,1.0511827100721272,0.2987311694092469,2.936450279471104,0.4313293488404069,1.068247718075246,0.3896032999598743,0.9291644348300452,0.3539636747578462,1.585171106691314,0.4485639448107154,2.887760017979995,0.2712661518465827,,,,,,,,,,9999.99
BS276,0.5264219857580994,0.10767850442582,4.189726011091601,0.4950825957577682,0.4562443722566798,0.1107481267984788,1.2377259555768934,0.1399434163378166,0.9941417265674016,0.2048057878752134,4.145363378028978,0.1728042611352044,8.38087,8.05737,8.61887,0.0966491,0.004,3.009391399328719,0.2809382176536563,0.4659382176536563,-1.180334611762882,6.9930109222952375
BS76,1.6931451518659542,0.3671208473201133,3.781715907324471,0.4842839303829643,1.8743511741663013,0.4870548460645894,0.8394645199664978,0.2570141260946144,2.3944267194763635,0.5509289505685777,3.690112353310505,0.2194852953979687,8.15015,7.88064,8.31755,0.0490416,0.004,2.9478310714628297,0.30134228674870384,0.48634228674870383,-0.8338848358616411,7.527507089848584
BS88,1.240928978597594,0.3572868328016281,,,2.3185324852286566,1.6806480940213495,0.2760156779307794,0.5751339956010141,1.3366356750494637,0.3847415756071853,3.1271285086411527,0.8514987736683901,9.56219,9.4035,9.60957,0.121861,0.002,3.1995494966993565,0.36574497681182144,0.5507449768118214,-1.945978565953541,7.353455491932461
H86-11,0.4896782348608752,0.2578117194139919,,,0.9155499736104116,0.4851342228180129,0.8810628530307514,0.5359415375208235,1.2729863571899656,0.4672114095834434,2.798941692846631,0.3671829208071673,,,,,,,,,,9999.99
H86-114,1.4201333313874762,0.3177958520884028,,,2.19717445250988,0.6406279491906475,0.7095097191906644,0.2609574162309892,2.464137877132005,0.5782363607848969,4.047081103450485,0.2460304356633256,8.34451,7.97286,8.60009,0.0629905,0.004,2.7886731042116484,0.23876825063226453,0.42376825063226453,-3.0409996422898145,7.504668275765014
