# from Cuevas-Otahola 2021MNRAS.500.4422C
ID R_g gamma gamma_minus gamma_plus R_c Rc_minus Rc_plus R_h Rh_minus Rh_plus R_t Rt_minus Rt_plus Mbound_M_ratio rho_0 rho_0_minus rho_0_plus Sigma_0 Sigma_0_minus Sigma_0_plus M M_minus M_plus L L_minus L_plus rho_h rho_h_minus rho_h_plus I_h I_h_minus I_h_plus sigma_p sigma_p_minus sigma_p_plus Reff_ini_Rjac_ini
D59	2.05	2.63	0.03	0.04	1.65	0.05	0.09	5.61	0.08	0.12	11.26	0.15	0.28	0.67	2.19	0.06	0.08	2.72	0.07	0.08	4.31	0.13	0.24	5.20	0.13	0.24	1.44	0.18	0.37	2.90	0.18	0.37	1.61	0.14	0.26	0.12
D61	2.70	3.15	0.06	0.04	1.89	0.10	0.07	3.88	0.08	0.06	7.47	0.20	0.14	0.73	1.65	0.09	0.07	2.24	0.12	0.09	3.78	0.12	0.08	4.67	0.12	0.08	1.39	0.10	0.07	2.69	0.10	0.07	0.94	0.17	0.12	0.09
D66	1.77	2.77	0.05	0.04	2.39	0.10	0.08	6.65	0.10	0.08	11.10	0.20	0.16	0.65	2.21	0.07	0.07	2.90	0.07	0.07	4.75	0.14	0.11	5.64	0.14	0.11	1.66	0.25	0.20	3.19	0.25	0.20	2.23	0.18	0.14	0.12
D67	2.33	3.87	0.12	0.12	3.14	0.18	0.20	5.02	0.08	0.09	4.22	0.32	0.36	0.42	1.34	0.10	0.10	2.16	0.12	0.13	4.04	0.09	0.12	4.93	0.09	0.12	1.32	0.10	0.14	2.73	0.10	0.14	0.88	0.24	0.27	0.12
D69	2.47	2.52	0.04	0.02	1.22	0.07	0.03	5.19	0.16	0.08	10.38	0.29	0.13	0.65	2.05	0.07	0.06	2.44	0.07	0.06	3.83	0.27	0.12	4.72	0.27	0.12	1.06	0.36	0.16	2.49	0.36	0.16	1.03	0.28	0.13	0.13
D73	1.20	2.53	0.08	0.07	1.26	0.15	0.13	5.27	0.31	0.27	10.71	0.62	0.48	0.65	2.70	0.11	0.10	3.11	0.11	0.10	4.52	0.57	0.44	5.41	0.57	0.44	1.74	0.79	0.59	3.17	0.79	0.59	2.25	0.60	0.46	0.17
D74	1.93	3.57	0.09	0.10	1.98	0.10	0.13	3.42	0.08	0.10	5.71	0.20	0.27	0.72	1.81	0.10	0.10	2.42	0.14	0.15	3.94	0.08	0.11	4.82	0.08	0.11	1.71	0.03	0.06	2.96	0.03	0.06	1.13	0.15	0.20	0.10
D75	1.47	4.00	0.22	0.26	2.66	0.24	0.26	4.14	0.13	0.15	3.69	0.47	0.51	0.44	1.65	0.13	0.14	2.39	0.17	0.18	4.12	0.11	0.10	5.01	0.11	0.10	1.65	0.06	0.04	2.98	0.06	0.04	1.11	0.34	0.37	0.14
D77	3.03	3.45	0.04	0.04	0.87	0.03	0.04	1.57	0.05	0.06	16.29	0.10	0.12	0.98	2.85	0.08	0.08	3.10	0.13	0.13	3.93	0.06	0.08	4.81	0.06	0.08	2.72	0.01	0.00	3.62	0.01	0.00	1.86	0.08	0.10	0.02
D78	1.53	4.00	1.07	0.08	5.68	1.46	0.07	8.83	0.47	0.03	3.07	1.97	0.11	0.11	1.28	0.20	0.05	2.35	0.18	0.05	4.74	0.25	0.00	5.63	0.25	0.00	1.28	0.43	0.02	2.94	0.43	0.02	1.12	1.40	0.08	0.19
